Device (ID),Command ID,Element ID,Class Type,Arg ID,Value,Limit Min,Limit Max,Hints,,
ANTI_ICE_INTERFACE(60),3001,ROTOR-DEICER-AUTO-MAN-PTR,TUMB,109,-1,0,1,AntiIce AUTO/MANUAL,,
ANTI_ICE_INTERFACE(60),3001,ROTOR-DEICER-AUTO-MAN-PTR,TUMB,109,1,0,1,AntiIce AUTO/MANUAL,,
ANTI_ICE_INTERFACE(60),3002,ROTOR-DEICER-OFF-PTR,BTN,110,1,0,1,AntiIce OFF,,
ANTI_ICE_INTERFACE(60),3003,LEFT-ENG-HEATING-PTR,TUMB,113,-1,0,1,Left Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3003,LEFT-ENG-HEATING-PTR,TUMB,113,1,0,1,Left Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3004,RIGHT-ENG-HEATING-PTR,TUMB,112,-1,0,1,Right Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3004,RIGHT-ENG-HEATING-PTR,TUMB,112,1,0,1,Right Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3005,WINDSHIELD-DEICER-PTR,TUMB,111,-1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3005,WINDSHIELD-DEICER-PTR,TUMB,111,1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3006,WINDSHIELD-DEICER-OP-PTR,TUMB,675,-1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3006,WINDSHIELD-DEICER-OP-PTR,TUMB,675,1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3007,DEICER-KNOB-PTR,TUMB,114,-0.1,0,1,AC Voltmeter knob,,
ANTI_ICE_INTERFACE(60),3007,DEICER-KNOB-PTR,TUMB,114,0.1,0,1,AC Voltmeter knob,,
ARC_15_PANEL_O(48),3001,ARC-OP-VOLUME-PTR,LEV,634,0,0,1,ARC-15 Volume,,
ARC_15_PANEL_O(48),3002,ARC-OP-MODULATED-PTR,TUMB,635,-1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_O(48),3002,ARC-OP-MODULATED-PTR,TUMB,635,1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_O(48),3003,ARC-OP-MODE-PTR,TUMB,638,-0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_O(48),3003,ARC-OP-MODE-PTR,TUMB,638,0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_O(48),3004,ARC-OP-CH2-OUT-KNOB,TUMB,639,-0.058823529,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3004,ARC-OP-CH2-OUT-KNOB,TUMB,639,0.058823529,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3005,ARC-OP-CH2-CENTER-PTR,TUMB,640,-0.111111111,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3005,ARC-OP-CH2-CENTER-PTR,TUMB,640,0.111111111,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3006,ARC-OP-CH2-IN-PTR,TUMB,641,-0.05,0,0.95,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3006,ARC-OP-CH2-IN-PTR,TUMB,641,0.05,0,0.95,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3007,ARC-OP-CH1-OUT-KNOB,TUMB,642,-0.058823529,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3007,ARC-OP-CH1-OUT-KNOB,TUMB,642,0.058823529,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3008,ARC-OP-CH1-CENTER-PTR,TUMB,643,-0.111111111,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3008,ARC-OP-CH1-CENTER-PTR,TUMB,643,0.111111111,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3009,ARC-OP-CH1-IN-PTR,TUMB,644,-0.05,0,0.95,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3009,ARC-OP-CH1-IN-PTR,TUMB,644,0.05,0,0.95,ARC-15 Right Frequency,,
ARC_15_PANEL_O(48),3010,ARC-OP-FRAME-PTR,BTN,633,1,0,1,ARC-15 Loop Button,,
ARC_15_PANEL_O(48),3011,ARC-OP-CHANNEL-PTR,TUMB,637,-1,0,1,ARC-15 1/2,,
ARC_15_PANEL_O(48),3011,ARC-OP-CHANNEL-PTR,TUMB,637,1,0,1,ARC-15 1/2,,
ARC_15_PANEL_O(48),3012,ARC-OP-AUTH-PTR,BTN,636,1,0,1,ARC-15 Control Button,,
ARC_15_PANEL_P(47),3001,ARC-VOLUME-PTR,LEV,459,0,0,1,ARC-15 Volume,,
ARC_15_PANEL_P(47),3002,ARC-MODULATED-PTR,TUMB,460,-1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_P(47),3002,ARC-MODULATED-PTR,TUMB,460,1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_P(47),3003,ARC-MODE-PTR,TUMB,463,-0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_P(47),3003,ARC-MODE-PTR,TUMB,463,0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_P(47),3004,ARC-CH2-OUT-KNOB,TUMB,464,-0.058823529,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3004,ARC-CH2-OUT-KNOB,TUMB,464,0.058823529,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3005,ARC-CH2-CENTER-PTR,TUMB,465,-0.111111111,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3005,ARC-CH2-CENTER-PTR,TUMB,465,0.111111111,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3006,ARC-CH2-IN-PTR,TUMB,466,-0.05,0,0.95,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3006,ARC-CH2-IN-PTR,TUMB,466,0.05,0,0.95,ARC-15 Left Frequency,,
ARC_15_PANEL_P(47),3007,ARC-CH1-OUT-KNOB,TUMB,467,-0.058823529,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3007,ARC-CH1-OUT-KNOB,TUMB,467,0.058823529,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3008,ARC-CH1-CENTER-PTR,TUMB,468,-0.111111111,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3008,ARC-CH1-CENTER-PTR,TUMB,468,0.111111111,0,1,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3009,ARC-CH1-IN-PTR,TUMB,469,-0.05,0,0.95,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3009,ARC-CH1-IN-PTR,TUMB,469,0.05,0,0.95,ARC-15 Right Frequency,,
ARC_15_PANEL_P(47),3010,ARC-FRAME-PTR,BTN,458,1,0,1,ARC-15 Loop Button,,
ARC_15_PANEL_P(47),3011,ARC-CHANNEL-PTR,TUMB,462,-1,0,1,ARC-15 1/2,,
ARC_15_PANEL_P(47),3011,ARC-CHANNEL-PTR,TUMB,462,1,0,1,ARC-15 1/2,,
ARC_15_PANEL_P(47),3012,ARC-AUTH-PTR,BTN,461,1,0,1,ARC-15 Control Button,,
ARC_U2(54),3001,ARC-U2-ON-OFF-PTR,TUMB,324,-1,0,1,ARC-U2 switcher On/Off,,
ARC_U2(54),3001,ARC-U2-ON-OFF-PTR,TUMB,324,1,0,1,ARC-U2 switcher On/Off,,
ARC_U2(54),3002,ARC-U2-FRAME-PTR,BTN,325,-1,-1,0,ARC-U2 switcher L–RAMKA-P,,
ARC_U2(54),3003,ARC-U2-FRAME-PTR,BTN,325,1,0,1,ARC-U2 switcher L–RAMKA-P,,
ARC_U2(54),3004,ARC-U2-SENS-PTR,TUMB,326,-1,0,1,ARC-U2 switcher sensitivity B-M,,
ARC_U2(54),3004,ARC-U2-SENS-PTR,TUMB,326,1,0,1,ARC-U2 switcher sensitivity B-M,,
ARC_U2(54),3005,ARC-U2-COMPASS-CONNECT-PTR,TUMB,327,-1,-1,1,ARC-U2 switcher COMPASS R-852–RADIOLINK–COMPASS R-828,,
ARC_U2(54),3005,ARC-U2-COMPASS-CONNECT-PTR,TUMB,327,1,-1,1,ARC-U2 switcher COMPASS R-852–RADIOLINK–COMPASS R-828,,
ASO_2V(9),3001,ASO2V-INTERV-PTR,TUMB,1008,-1,0,1,Interval,,
ASO_2V(9),3001,ASO2V-INTERV-PTR,TUMB,1008,1,0,1,Interval,,
ASO_2V(9),3002,ASO2V-SERIES-PTR,TUMB,965,-1,0,1,Serie,,
ASO_2V(9),3002,ASO2V-SERIES-PTR,TUMB,965,1,0,1,Serie,,
ASO_2V(9),3003,ASO2V-RESET-PTR,BTN,968,1,0,1,Launch Snars,,
ASO_2V(9),3004,ASO2V-LEFT-PTR,TUMB,969,-1,0,1,Left Side,,
ASO_2V(9),3004,ASO2V-LEFT-PTR,TUMB,969,1,0,1,Left Side,,
ASO_2V(9),3005,ASO2V-RIGHT-PTR,TUMB,970,-1,0,1,Right Side,,
ASO_2V(9),3005,ASO2V-RIGHT-PTR,TUMB,970,1,0,1,Right Side,,
ASO_2V(9),3006,ASO2V-SETS-PTR,TUMB,971,-0.1,0,0.3,Set I/II/III,,
ASO_2V(9),3006,ASO2V-SETS-PTR,TUMB,971,0.1,0,0.3,Set I/II/III,,
ASO_2V(9),3007,ASO-ON-PTR,BTN,847,1,0,1,Pilot Launch Snars,,
ASP_17V(16),3001,SIGHT-MAN-AUTO-PTR,TUMB,553,-0.5,0,0.5,Sight mode MANUAL/AUTO,,
ASP_17V(16),3001,SIGHT-MAN-AUTO-PTR,TUMB,553,0.5,0,0.5,Sight mode MANUAL/AUTO,,
ASP_17V(16),3002,SIGHT-SYNC-UNSYNC-PTR,TUMB,554,-0.5,0,0.5,Sight mode SYNC/ASYNC,,
ASP_17V(16),3002,SIGHT-SYNC-UNSYNC-PTR,TUMB,554,0.5,0,0.5,Sight mode SYNC/ASYNC,,
ASP_17V(16),3003,WEAP-DIST-MAN-AUTO-PTR,TUMB,515,-1,0,1,Sight distance MANUAL/AUTO,,
ASP_17V(16),3003,WEAP-DIST-MAN-AUTO-PTR,TUMB,515,1,0,1,Sight distance MANUAL/AUTO,,
ASP_17V(16),3004,WEAP-SIGHT-DIST-PTR,LEV,552,0,0,1,Sight Range Adjustment,,
ASP_17V(16),3005,SIGHT-VERT-KNOB-PTR,LEV,556,0,0,1,Sight Crosshair Vertical Adjustment,,
ASP_17V(16),3006,SIGHT-HOR-KNOB-PTR,LEV,566,0,0,1,Sight Crosshair Horizontal Adjustment,,
ASP_17V(16),3007,WEAP-SIGHT-RESET-PTR,BTN,528,1,0,1,Sight Resrt Crosshair,,
ASP_17V(16),3008,SIGHT-BASE-KNOB-PTR,LEV,557,0,0,1,Sight Base and Range Adjustment,,
ASP_17V(16),3009,SIGHT-CONTROL-PTR,BTN,570,1,0,1,Sight Control,,
ASP_17V(16),3010,SIGHT-GRID-BRIGHNTNESS-KNOB-PTR,LEV,567,0,0,1,Sight Grid Brightness Adjustment,,
ASP_17V(16),3011,SIGHT-CROSSHAIR-BRIGHNTNESS-KNOB-PTR,LEV,564,0,0,1,Sight Crosshair Brightness Adjustment,,
ASP_17V(16),3012,SIGHT-GRID-BACKUP-PTR,TUMB,569,-1,0,1,Sight Grid Lamp MAIN/BACKUP,,
ASP_17V(16),3012,SIGHT-GRID-BACKUP-PTR,TUMB,569,1,0,1,Sight Grid Lamp MAIN/BACKUP,,
ASP_17V(16),3013,SIGHT-CROSSHAIR-BACKUP-PTR,TUMB,568,-1,0,1,Sight Crosshair Lamp MAIN/BACKUP,,
ASP_17V(16),3013,SIGHT-CROSSHAIR-BACKUP-PTR,TUMB,568,1,0,1,Sight Crosshair Lamp MAIN/BACKUP,,
ASP_17V(16),3014,WEAP-SIGHT-ON-PFF-PTR,TUMB,529,-1,0,1,Sight Power ON/OFF,,
ASP_17V(16),3014,WEAP-SIGHT-ON-PFF-PTR,TUMB,529,1,0,1,Sight Power ON/OFF,,
ASP_17V(16),3015,WEAP-DISTR-POWER-OP-PTR,TUMB,761,-1,0,1,USR power,,
ASP_17V(16),3015,WEAP-DISTR-POWER-OP-PTR,TUMB,761,1,0,1,USR power,,
ASP_17V(16),3016,WEAP-DISTR-CONTROL-OP-PTR,TUMB,762,-1,-1,1,USR check,,
ASP_17V(16),3016,WEAP-DISTR-CONTROL-OP-PTR,TUMB,762,1,-1,1,USR check,,
ASP_17V(16),3045,ILS-ADJUST-HANDLE-PTR,TUMB,1005,0,0,1,Sight reflector control,,
ASP_17V(16),3046,ILS-ADJUST-HANDLE-PTR,LEV,1006,0,0,1,Sight reflector control,,
AUTOPILOT(10),3001,SAU-K-ON-PTR,BTN,243,1,0,1,Autopilot K Channel ON,,
AUTOPILOT(10),3003,SAU-K-OFF-PTR,BTN,242,1,0,1,Autopilot K Channel OFF,,
AUTOPILOT(10),3005,SAU-H-ON-PTR,BTN,237,1,0,1,Autopilot H Channel ON,,
AUTOPILOT(10),3007,SAU-H-OFF-PTR,BTN,236,1,0,1,Autopilot H Channel OFF,,
AUTOPILOT(10),3009,SAU-T-ON-PTR,BTN,249,1,0,1,Autopilot T Channel ON,,
AUTOPILOT(10),3011,SAU-T-OFF-PTR,BTN,248,1,0,1,Autopilot T Channel OFF,,
AUTOPILOT(10),3013,SAU-B-ON-PTR,BTN,255,1,0,1,Autopilot B Channel ON,,
AUTOPILOT(10),3015,SAU-B-OFF-PTR,BTN,254,1,0,1,Autopilot B Channel OFF,,
AUTOPILOT(10),3017,SAU-B-SWITCH-PTR,BTN,253,1,0,1,Autopilot Altitude Control,,
AUTOPILOT(10),3019,SAU-B-SWITCH-PTR,BTN,253,-1,-1,0,Autopilot Altitude Control,,
AUTOPILOT(10),3021,SAU-K-KNOB-PTR,LEV,240,0,0,1,Autopilot K Channel Delta Correction,,
AUTOPILOT(10),3023,SAU-H-KNOB-PTR,LEV,234,0,0,1,Autopilot H Channel Delta Correction,,
AUTOPILOT(10),3025,SAU-T-KNOB-PTR,LEV,246,0,0,1,Autopilot T Channel Delta Correction,,
AUTOPILOT(10),3027,STICK-TRIMMER-PTR,BTN,742,1,0,1,Autopilot Trimmer Button,,
AUTOPILOT(10),3028,OP-STICK-TRIMMER-PTR,BTN,855,1,0,1,Autopilot Trimmer Button,,
AUTOPILOT(10),3030,SAU-AZ-PTR,LEV,262,1,0,1,Autopilot Route Azimuth,,
AUTOPILOT(10),3032,SAU-HEIGHT-ON-PTR,BTN,258,1,0,1,Autopilot Altitude Mode ON,,
AUTOPILOT(10),3034,SAU-HEIGHT-OFF-PTR,BTN,257,1,0,1,Autopilot Altitude Mode OFF,,
AUTOPILOT(10),3036,SAU-HOVER-ON-PTR,BTN,259,1,0,1,Autopilot Hover Mode ON,,
AUTOPILOT(10),3038,SAU-ROUTE-ON-PTR,BTN,261,1,0,1,Autopilot Route Mode ON,,
AUTOPILOT(10),3040,SAU-HOVER-ROUTE-OFF-PTR,BTN,260,1,0,1,Autopilot Route and Hover Modes OFF,,
AUTOPILOT(10),3042,SAU-SPEED-ON-PTR,BTN,268,1,0,1,Autopilot Speed Stabilization ON,,
AUTOPILOT(10),3044,SAU-SPEED-OFF-PTR,BTN,269,1,0,1,Autopilot Speed Stabilization OFF,,
AUTOPILOT(10),3070,SAU-BRIGHT-DIM-PTR,TUMB,267,-1,0,1,Buttons Lighting BRIGHT/DIM,,
AUTOPILOT(10),3070,SAU-BRIGHT-DIM-PTR,TUMB,267,1,0,1,Buttons Lighting BRIGHT/DIM,,
BAROALT_O(42),3001,ALTIMETER-KNOB-OP-PTR,LEV,788,1,0,1,Operator Baro Pressure Knob,,
BAROALT_P(41),3001,ALTIMETER-KNOB-PTR,LEV,18,1,0,1,Baro Pressure Knob,,
CLOCK_O(36),3001,CLOCK-LEFT-OP-PTR,BTN,687,1,0,1,Mech clock left lever,,
CLOCK_O(36),3002,CLOCK-LEFT-OP-PTR,BTN,687,-1,-1,0,Mech clock left lever,,
CLOCK_O(36),3003,CLOCK-LEFT-OP-PTR,LEV,688,1,0,1,Mech clock left lever,,
CLOCK_O(36),3004,CLOCK-RIGHT-OP-PTR,BTN,693,1,0,1,Mech clock right lever,,
CLOCK_O(36),3005,CLOCK-RIGHT-OP-PTR,LEV,694,0.05,-0.15,0.15,Mech clock right lever,,
CLOCK_P(35),3001,CLOCK-LEFT-PTR,BTN,57,1,0,1,Mech clock left lever,,
CLOCK_P(35),3002,CLOCK-LEFT-PTR,BTN,57,-1,-1,0,Mech clock left lever,,
CLOCK_P(35),3003,CLOCK-LEFT-PTR,LEV,58,1,0,1,Mech clock left lever,,
CLOCK_P(35),3004,CLOCK-RIGHT-PTR,BTN,59,1,0,1,Mech clock right lever,,
CLOCK_P(35),3005,CLOCK-RIGHT-PTR,LEV,60,0.05,-0.15,0.15,Mech clock right lever,,
CPT_MECH(11),3001,LANDING-GEAR-PTR,TUMB,232,0,0,1,Gear Lever, UP/DOWN,
CPT_MECH(11),3001,LANDING-GEAR-PTR,TUMB,232,1,0,1,Gear Lever, UP/DOWN,
CPT_MECH(11),3002,LANDING-GEAR-LOCK-PTR,TUMB,228,0,0,1,Gear Lever Lock, UP/DOWN,
CPT_MECH(11),3002,LANDING-GEAR-LOCK-PTR,TUMB,228,1,0,1,Gear Lever Lock, UP/DOWN,
CPT_MECH(11),3003,LANDING-GEAR-LIGHTS-PTR,TUMB,224,-1,0,1,Gear Indication Lights ON/OFF,,
CPT_MECH(11),3003,LANDING-GEAR-LIGHTS-PTR,TUMB,224,1,0,1,Gear Indication Lights ON/OFF,,
CPT_MECH(11),3004,LANDING-GEAR-LIGHTS-COVER-PTR,TUMB,223,-1,0,1,Gear Indication Lights Cover UP/DOWN,,
CPT_MECH(11),3004,LANDING-GEAR-LIGHTS-COVER-PTR,TUMB,223,1,0,1,Gear Indication Lights Cover UP/DOWN,,
CPT_MECH(11),3005,LANDING-GEAR-OP-PTR,TUMB,677,-1,0,1,Operator Gear Switch, UP/DOWN,
CPT_MECH(11),3005,LANDING-GEAR-OP-PTR,TUMB,677,1,0,1,Operator Gear Switch, UP/DOWN,
CPT_MECH(11),3006,LANDING-GEAR-OP-COVER-PTR,TUMB,676,-1,0,1,Operator Gear Switch Cover, UP/DOWN,
CPT_MECH(11),3006,LANDING-GEAR-OP-COVER-PTR,TUMB,676,1,0,1,Operator Gear Switch Cover, UP/DOWN,
CPT_MECH(11),3007,LANDING-GEAR-EMER-PTR,TUMB,827,0,0,1,Emeregency Gear Lever,,
CPT_MECH(11),3007,LANDING-GEAR-EMER-PTR,TUMB,827,1,0,1,Emeregency Gear Lever,,
CPT_MECH(11),3012,DUAS-V-HEATING-OP-PTR,TUMB,763,-1,0,1,Heating DUAS, ON/OFF,
CPT_MECH(11),3012,DUAS-V-HEATING-OP-PTR,TUMB,763,1,0,1,Heating DUAS, ON/OFF,
CPT_MECH(11),3013,CLOCK-HEATING-OP-PTR,TUMB,672,-1,0,1,Clock Heating Switch, ON/OFF,
CPT_MECH(11),3013,CLOCK-HEATING-OP-PTR,TUMB,672,1,0,1,Clock Heating Switch, ON/OFF,
CPT_MECH(11),3015,WIPER-SPRINKLER-PTR,BTN,384,1,0,1,Window Sprayer Button,,
CPT_MECH(11),3016,WIPER-SPRINKLER-OP-PTR,BTN,680,1,0,1,Operator Window Sprayer Button,,
CPT_MECH(11),3017,CANOPY-HANDLE-PTR,TUMB,8,0,0,1,Pilot Door Safety Lock, OPEN/CLOSE,
CPT_MECH(11),3017,CANOPY-HANDLE-PTR,TUMB,8,1,0,1,Pilot Door Safety Lock, OPEN/CLOSE,
CPT_MECH(11),3018,CANOPY-HANDLE-SAFETY-PTR,BTN,189,1,0,1,Pilot Door Safety Lock Button,,
CPT_MECH(11),3019,CANOPY-HANDLE-OP-PTR,TUMB,848,0,0,1,Operator Lock Canopy, OPEN/CLOSE,
CPT_MECH(11),3019,CANOPY-HANDLE-OP-PTR,TUMB,848,1,0,1,Operator Lock Canopy, OPEN/CLOSE,
CPT_MECH(11),3020,WIPER-MODE-PTR-HISPEED,TUMB,418,0.25,0.25,0.25,Windscreen Wiper Control Switch, SPEED 2,
CPT_MECH(11),3020,WIPER-MODE-PTR-LOWSPEED,TUMB,418,0.15,0.15,0.15,Windscreen Wiper Control Switch, SPEED 1,
CPT_MECH(11),3020,WIPER-MODE-PTR-OFF,TUMB,418,0,0,0,Windscreen Wiper Control Switch, OFF,
CPT_MECH(11),3020,WIPER-MODE-PTR-RESET,BTN,418,0.35,0,0.35,Windscreen Wiper Control Switch, RESET,
CPT_MECH(11),3020,WIPER-MODE-PTR-START,TUMB,418,0.05,0.05,0.05,Windscreen Wiper Control Switch, START,
CPT_MECH(11),3021,WIPER-MODE-OP-PTR-HISPEED,TUMB,674,0.25,0.25,0.25,Windscreen Wiper Control Switch, SPEED 2,
CPT_MECH(11),3021,WIPER-MODE-OP-PTR-LOWSPEED,TUMB,674,0.15,0.15,0.15,Windscreen Wiper Control Switch, SPEED 1,
CPT_MECH(11),3021,WIPER-MODE-OP-PTR-OFF,TUMB,674,0,0,0,Windscreen Wiper Control Switch, OFF,
CPT_MECH(11),3021,WIPER-MODE-OP-PTR-RESET,BTN,674,0.35,0,0.35,Windscreen Wiper Control Switch, RESET,
CPT_MECH(11),3021,WIPER-MODE-OP-PTR-START,TUMB,674,0.05,0.05,0.05,Windscreen Wiper Control Switch, START,
CPT_MECH(11),3024,FAN-PTR,TUMB,420,-1,0,1,Pilot Fan, ON/OFF,
CPT_MECH(11),3024,FAN-PTR,TUMB,420,1,0,1,Pilot Fan, ON/OFF,
CPT_MECH(11),3025,FAN-OP-PTR,TUMB,665,-1,0,1,Operator Fan, ON/OFF,
CPT_MECH(11),3025,FAN-OP-PTR,TUMB,665,1,0,1,Operator Fan, ON/OFF,
